Metric Category,Metric Name,Value
Broker,CPU Min (%),1.87573
Broker,CPU Max (%),18.35052
Broker,CPU Avg (%),6.54564
Broker,CPU Variance,17.76096
Broker,Memory Min (MB),84.96958
Broker,Memory Max (MB),85.03708
Broker,Memory Avg (MB),85.01451
Broker,Memory Variance,0.00018
Messaging,Latency Min (ms),-6.47354
Messaging,Latency Max (ms),197.77489
Messaging,Latency Avg (ms),18.34720
Messaging,Latency Variance,228.54854
Messaging,Throughput (msgs/sec),105.40661
Messaging,Avg Header Size (bytes),27.10493
Messaging,Data Messages,18536
Messaging,Non-Data Messages,254
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,18536
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18536
Purpose Correctness,Total Received,18536
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,118
OP Correctness,Total Actual Responses,118
OP Correctness,Total Relevant Requests Recieved,135
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,0.9926
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
