Metric Category,Metric Name,Value
Broker,CPU Min (%),2.00946
Broker,CPU Max (%),17.80303
Broker,CPU Avg (%),6.72665
Broker,CPU Variance,19.04172
Broker,Memory Min (MB),82.45633
Broker,Memory Max (MB),82.50909
Broker,Memory Avg (MB),82.48843
Broker,Memory Variance,0.00014
Messaging,Latency Min (ms),-6.90293
Messaging,Latency Max (ms),717.36336
Messaging,Latency Avg (ms),22.12958
Messaging,Latency Variance,1452.08090
Messaging,Throughput (msgs/sec),106.20902
Messaging,Avg Header Size (bytes),27.10490
Messaging,Data Messages,18636
Messaging,Non-Data Messages,1496
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,18636
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,18636
Purpose Correctness,Total Received,18636
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,1360
OP Correctness,Total Actual Responses,1360
OP Correctness,Total Relevant Requests Recieved,136
OP Correctness,Total Irrelevant Requests Recieved,1224
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,1.0000
OP Correctness,Avg Completion,1.0000
